IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
an assassin	NA	a terrorist	NA	0.603055084745763	0.0402484793346647	0.793889830508475	1
a gang member	NA	a celebrity	NA	0.222540909090909	0.0381747430817349	0.445081818181818	-1
a pedophile	NA	a nun	NA	0.0177291666666667	0.0112833674207913	0.0354583333333334	-1
an olympian	NA	a gang member	NA	0.862786363636364	0.0323164165153909	0.274427272727273	1
a gang member	NA	a rapist	NA	0.717260330578512	0.0361655644389275	0.565479338842975	1
an assassin	NA	a thief	NA	0.444953781512605	0.0420009894017006	0.88990756302521	-1
a congressman	NA	a convict	NA	0.681580508474576	0.0420854742352836	0.636838983050847	1
an olympian	NA	a rapist	NA	0.96764347826087	0.0158441821515451	0.0647130434782608	1
a thief	NA	a teacher	NA	0.0770854700854701	0.0167363180772357	0.15417094017094	-1
a gang member	NA	a terrorist	NA	0.692247826086957	0.0392204964268374	0.615504347826087	1
a convict	NA	a pedophile	NA	0.78889453125	0.0309423076916885	0.4222109375	1
a nun	NA	a soldier	NA	0.291413793103448	0.0398238769212625	0.582827586206897	-1
a police officer	NA	a father	NA	0.328857438016529	0.0286569195126447	0.657714876033058	-1
a terrorist	NA	a celebrity	NA	0.101188073394495	0.0274230827270398	0.202376146788991	-1
an astronaut	NA	an elderly person	NA	0.446167293233083	0.0301950573920875	0.892334586466165	-1
a judge	NA	an assassin	NA	0.901411764705882	0.0259543025038282	0.197176470588235	1
an assassin	NA	an elderly person	NA	0.0693239700374532	0.0148460054859568	0.138647940074906	-1
an elderly person	NA	a thief	NA	0.910507575757576	0.0167056081632066	0.178984848484848	1
a thief	NA	a judge	NA	0.127926724137931	0.0304048060007193	0.255853448275862	-1
a mother	NA	a mentor	NA	0.72590811965812	0.0282480042816495	0.548183760683761	1
a nun	NA	an astronaut	NA	0.438285714285714	0.0448625903581218	0.876571428571429	-1
a mentor	NA	an elderly person	NA	0.488447169811321	0.0319769351116037	0.976894339622641	-1
a father	NA	a nun	NA	0.756502118644068	0.0284046877221699	0.486995762711864	1
a nun	NA	a father	NA	0.240883474576271	0.0288201197693428	0.481766949152542	-1
