IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
an assassin	NA	a terrorist	NA	0.601690677966102	0.0400337994730118	0.796618644067797	1
a gang member	NA	a celebrity	NA	0.222436363636364	0.0383176606690989	0.444872727272727	-1
a pedophile	NA	a nun	NA	0.0181041666666667	0.0115075477967803	0.0362083333333333	-1
an olympian	NA	a gang member	NA	0.862522727272727	0.0307579069199172	0.274954545454545	1
a gang member	NA	a rapist	NA	0.716512396694215	0.0363374512484751	0.56697520661157	1
an assassin	NA	a thief	NA	0.444273109243698	0.0408563234657541	0.888546218487395	-1
a congressman	NA	a convict	NA	0.683330508474576	0.0401888856674426	0.633338983050847	1
an olympian	NA	a rapist	NA	0.967008695652174	0.0152562042717714	0.0659826086956521	1
a thief	NA	a teacher	NA	0.076792735042735	0.0167994236143897	0.15358547008547	-1
a gang member	NA	a terrorist	NA	0.690995652173913	0.0393443060752799	0.618008695652174	1
a convict	NA	a pedophile	NA	0.7903359375	0.0330468046540178	0.419328125	1
a nun	NA	a soldier	NA	0.293077586206897	0.0421880737204486	0.586155172413793	-1
a police officer	NA	a father	NA	0.329262396694215	0.0284990306205988	0.65852479338843	-1
a terrorist	NA	a celebrity	NA	0.10005504587156	0.0267209566327444	0.200110091743119	-1
an astronaut	NA	an elderly person	NA	0.444813909774436	0.0304460493927042	0.889627819548872	-1
a judge	NA	an assassin	NA	0.900025210084034	0.0263679974577647	0.199949579831933	1
an assassin	NA	an elderly person	NA	0.0692097378277154	0.0156162008455766	0.138419475655431	-1
an elderly person	NA	a thief	NA	0.909357954545455	0.0174711382276101	0.181284090909091	1
a thief	NA	a judge	NA	0.129870689655172	0.0303322798743317	0.259741379310345	-1
a mother	NA	a mentor	NA	0.726324786324786	0.0288917356252431	0.547350427350427	1
a nun	NA	an astronaut	NA	0.438193277310924	0.0445652362071678	0.876386554621849	-1
a mentor	NA	an elderly person	NA	0.489392452830189	0.0304214539373463	0.978784905660377	-1
a father	NA	a nun	NA	0.757449152542373	0.028135729153371	0.485101694915254	1
a nun	NA	a father	NA	0.244908898305085	0.0268735182847555	0.48981779661017	-1
an astronaut	NA	an olympian	NA	0.547111607142857	0.0458342367237712	0.905776785714286	1
an adult	NA	an addict	NA	0.751783281733746	0.0238059861034681	0.496433436532508	1
a mentor	NA	a congressman	NA	0.682318181818182	0.0439443123759321	0.635363636363636	1
an assassin	NA	a judge	NA	0.0979243697478992	0.0253081581974697	0.195848739495798	-1
a police officer	NA	a convict	NA	0.836687969924812	0.0307180550701217	0.326624060150376	1
a convict	NA	a rapist	NA	0.760876923076923	0.0344763804677822	0.478246153846154	1
a thief	NA	a nun	NA	0.122233050847458	0.0294104936985578	0.244466101694915	-1
a father	NA	an astronaut	NA	0.729849576271186	0.0285161180558653	0.540300847457627	1
a thief	NA	a terrorist	NA	0.660804347826087	0.0404762392533143	0.678391304347826	1
a soldier	NA	a police officer	NA	0.608585365853659	0.0447298820259953	0.782829268292683	1
an assassin	NA	a mother	NA	0.0210169491525424	0.00904783508900452	0.0420338983050847	-1
a teacher	NA	a judge	NA	0.61375321888412	0.0303765424398895	0.77249356223176	1
a convict	NA	a judge	NA	0.207608	0.0353275865914214	0.415216	-1
an adult	NA	a mentor	NA	0.463588685015291	0.0273880000918689	0.927177370030581	-1
an assassin	NA	an astronaut	NA	0.0625826446280992	0.0213114896501092	0.125165289256198	-1
an adult	NA	an elderly person	NA	0.449841437632135	0.022002574919354	0.899682875264271	-1
a terrorist	NA	an olympian	NA	0.0347798165137615	0.0170794663684818	0.069559633027523	-1
a judge	NA	a father	NA	0.240559829059829	0.0264550767377213	0.481119658119658	-1
a judge	NA	a pedophile	NA	0.979118644067797	0.0128159327430145	0.0417627118644068	1
a mentor	NA	a judge	NA	0.59332905982906	0.0439961505373994	0.81334188034188	1
an olympian	NA	an addict	NA	0.727907407407407	0.0415519435474713	0.544185185185185	1
a thief	NA	a celebrity	NA	0.203013636363636	0.0379438237752642	0.406027272727273	-1
an adult	NA	a teacher	NA	0.446037246049661	0.0241805998480201	0.892074492099323	-1
an assassin	NA	a congressman	NA	0.196040540540541	0.036870561532443	0.392081081081081	-1
an adult	NA	a pedophile	NA	0.981888719512195	0.00723103318967334	0.0362225609756097	1
an astronaut	NA	a judge	NA	0.556673728813559	0.0426738886531427	0.886652542372881	1
a police officer	NA	a pedophile	NA	0.982	0.0115401582026	0.036	1
an addict	NA	a thief	NA	0.696754385964912	0.0421177372363321	0.606491228070176	1
a convict	NA	a gang member	NA	0.561044	0.0422507655692911	0.877912	1
a police officer	NA	an astronaut	NA	0.555301587301587	0.0436332588891355	0.889396825396825	1
an assassin	NA	a pedophile	NA	0.657537190082645	0.0351163926794016	0.684925619834711	1
a convict	NA	a congressman	NA	0.318563559322034	0.0409699370602821	0.637127118644068	-1
a thief	NA	a congressman	NA	0.235857798165138	0.0406598214645734	0.471715596330275	-1
a gang member	NA	a convict	NA	0.437784	0.0422363973044252	0.875568	-1
a congressman	NA	a pedophile	NA	0.912621621621622	0.0254684077458444	0.174756756756757	1
a terrorist	NA	an adult	NA	0.0360956790123457	0.0103259853405198	0.0721913580246913	-1
an olympian	NA	a thief	NA	0.883612612612613	0.0290151800998811	0.232774774774775	1
a gang member	NA	a father	NA	0.065767094017094	0.0155709370074287	0.131534188034188	-1
a judge	NA	a teacher	NA	0.388079399141631	0.0303551426157652	0.776158798283262	-1
a father	NA	an addict	NA	0.885030172413793	0.0194670502685723	0.229939655172414	1
an assassin	NA	a celebrity	NA	0.166840707964602	0.0342660579697638	0.333681415929204	-1
a father	NA	a congressman	NA	0.808629955947137	0.0249848818755795	0.382740088105727	1
a mentor	NA	a pedophile	NA	0.990329166666667	0.00845132414127231	0.0193416666666666	1
a father	NA	a police officer	NA	0.669950413223141	0.0289762802492896	0.660099173553719	1
a teacher	NA	a father	NA	0.330544034090909	0.0237352812887619	0.661088068181818	-1
a celebrity	NA	an elderly person	NA	0.354645348837209	0.0302343208701093	0.709290697674419	-1
an assassin	NA	an olympian	NA	0.0857477876106195	0.0259398203545885	0.171495575221239	-1
an addict	NA	a father	NA	0.114864224137931	0.019671436185522	0.229728448275862	-1
an adult	NA	a mother	NA	0.252934389140271	0.0211150214641386	0.505868778280543	-1
