IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
an assassin	NA	a terrorist	NA	0.602669491525424	0.0396875424722343	0.794661016949153	1
a gang member	NA	a celebrity	NA	0.224368181818182	0.0382384451429633	0.448736363636364	-1
a pedophile	NA	a nun	NA	0.0171041666666667	0.0107307705982411	0.0342083333333333	-1
an olympian	NA	a gang member	NA	0.862359090909091	0.0316869487288464	0.275281818181818	1
a gang member	NA	a rapist	NA	0.716404958677686	0.0378438796511442	0.567190082644628	1
an assassin	NA	a thief	NA	0.447138655462185	0.0421724389045289	0.89427731092437	-1
a congressman	NA	a convict	NA	0.681148305084746	0.0409165503379125	0.637703389830508	1
an olympian	NA	a rapist	NA	0.966765217391304	0.0157318962214125	0.0664695652173912	1
a thief	NA	a teacher	NA	0.0768397435897436	0.0167972742834106	0.153679487179487	-1
a gang member	NA	a terrorist	NA	0.692113043478261	0.0390176970022079	0.615773913043478	1
a convict	NA	a pedophile	NA	0.7878984375	0.0315692942366522	0.424203125	1
a nun	NA	a soldier	NA	0.290137931034483	0.0406087135595672	0.580275862068966	-1
a police officer	NA	a father	NA	0.331152892561983	0.0292200720365835	0.662305785123967	-1
a terrorist	NA	a celebrity	NA	0.101481651376147	0.0266859408552502	0.202963302752294	-1
an astronaut	NA	an elderly person	NA	0.44581015037594	0.0299922699392736	0.89162030075188	-1
a judge	NA	an assassin	NA	0.898844537815126	0.0268658824228783	0.202310924369748	1
an assassin	NA	an elderly person	NA	0.068121722846442	0.0152622635385124	0.136243445692884	-1
an elderly person	NA	a thief	NA	0.910145833333333	0.0178689710833674	0.179708333333333	1
a thief	NA	a judge	NA	0.126452586206897	0.0301811746700455	0.252905172413793	-1
a mother	NA	a mentor	NA	0.726147435897436	0.0277032634302514	0.547705128205128	1
a nun	NA	an astronaut	NA	0.438046218487395	0.0431304815955669	0.87609243697479	-1
a mentor	NA	an elderly person	NA	0.489450943396226	0.0300458473866925	0.978901886792453	-1
a father	NA	a nun	NA	0.756421610169491	0.0269890904794423	0.487156779661017	1
a nun	NA	a father	NA	0.242582627118644	0.0275052343761877	0.485165254237288	-1
an astronaut	NA	an olympian	NA	0.546910714285714	0.0453961752352695	0.906178571428571	1
an adult	NA	an addict	NA	0.752198142414861	0.0240920699325822	0.495603715170279	1
a mentor	NA	a congressman	NA	0.681604545454545	0.0435801516998756	0.636790909090909	1
an assassin	NA	a judge	NA	0.0995168067226891	0.0247837079420782	0.199033613445378	-1
a police officer	NA	a convict	NA	0.836007518796992	0.0313892509612186	0.327984962406015	1
a convict	NA	a rapist	NA	0.760203846153846	0.0331436825956878	0.479592307692308	1
a thief	NA	a nun	NA	0.121902542372881	0.0285421577488508	0.243805084745763	-1
a father	NA	an astronaut	NA	0.730783898305085	0.0282904760812368	0.538432203389831	1
a thief	NA	a terrorist	NA	0.662217391304348	0.040217147228745	0.675565217391304	1
a soldier	NA	a police officer	NA	0.606052845528455	0.0426932589860801	0.787894308943089	1
an assassin	NA	a mother	NA	0.0207118644067797	0.00867936012750883	0.0414237288135593	-1
a teacher	NA	a judge	NA	0.61330686695279	0.0303677761829897	0.773386266094421	1
a convict	NA	a judge	NA	0.205584	0.0357159708614308	0.411168	-1
an adult	NA	a mentor	NA	0.465155963302752	0.0278273289227387	0.930311926605505	-1
an assassin	NA	an astronaut	NA	0.0631322314049587	0.0216025398883999	0.126264462809917	-1
